Year,County,Hospital,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings,Longitude,Latitude
2020,Alameda,Alameda Hospital,6,70,5.2,As Expected,-122.253,37.76266
2020,Alameda,Alameda Hospital,3,144,2.4,As Expected,-122.253,37.76266
2020,Alameda,Alameda Hospital,1,28,5.3,As Expected,-122.253,37.76266
2020,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2020,Alameda,Alameda Hospital,,,,,-122.253,37.76266
2020,Alameda,Alameda Hospital,12,170,6.2,As Expected,-122.253,37.76266
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,1,18,4.6,As Expected,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,24,216,9,As Expected,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,20,85,22.2,As Expected,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,1,126,1.6,As Expected,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,3,5,34.1,As Expected,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,,,,,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,8,233,4.7,As Expected,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,3,268,1.3,As Expected,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,0,90,0,As Expected,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,,,,,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,,,,,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,1,99,0.9,As Expected,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,1,26,2.3,As Expected,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,14,213,5.8,Better,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,13,95,16.2,As Expected,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,1,115,1.1,As Expected,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,0,3,0,As Expected,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,,,,,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,3,206,1.4,As Expected,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,12,306,3.3,As Expected,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,2,89,2.7,As Expected,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,,,,,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,,,,,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,5,82,4.6,As Expected,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,1,22,4.5,As Expected,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,26,202,6.8,As Expected,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,24,101,18.3,As Expected,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,1,98,0.8,Better,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,1,3,24,As Expected,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,,,,,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,3,195,1.4,As Expected,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,10,324,2.2,As Expected,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,1,92,0.8,As Expected,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,,,,,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,0,4,0,As Expected,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,1,74,1.3,As Expected,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,,,,,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,,,,,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,3,29,4.4,As Expected,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,17,194,5.4,Better,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,14,92,13.5,Better,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,3,96,2.9,As Expected,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,0,6,0,As Expected,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,,,,,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,1,187,0.8,As Expected,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,14,311,4.1,As Expected,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,1,90,1,As Expected,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,,,,,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,,,,,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,0,67,0,As Expected,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,,,,,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,,,,,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,4,16,10,As Expected,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,19,197,7.2,As Expected,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,17,102,19.5,As Expected,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,2,89,2.7,As Expected,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,0,6,0,As Expected,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,,,,,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,3,154,1.8,As Expected,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,11,261,3.3,As Expected,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,2,79,2.4,As Expected,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,,,,,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,,,,,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,10,135,7.2,As Expected,-122.257,37.85645
2016,Alameda,Highland Hospital,12,158,10.5,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,17,147,10.6,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,10,36,29.4,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,6,106,5.8,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,1,5,10.2,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,0,5,0,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,4,147,4.4,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,1,317,0.7,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,1,38,3.6,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,10,132,10.1,Worse,-122.231,37.79925
2016,Alameda,Highland Hospital,0,4,0,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,0,127,0,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,0,0,0,As Expected,-122.23138,37.79925
2017,Alameda,Highland Hospital,0,0,0,As Expected,-122.23138,37.79925
2017,Alameda,Highland Hospital,0,0,0,As Expected,-122.23138,37.79925
2017,Alameda,Highland Hospital,13,154,9.5,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,13,118,10,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,9,40,21.5,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,2,75,4.9,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,2,3,54.3,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,0,4,0,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,5,148,3.2,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,4,379,1.5,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,0,45,0,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,4,138,2.8,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,0,6,0,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,1,99,2.1,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,0,9,,As Expected,-122.23138,37.79925
2018,Alameda,Highland Hospital,0,9,0,As Expected,-122.23138,37.79925
2018,Alameda,Highland Hospital,0,9,0,As Expected,-122.23138,37.79925
2018,Alameda,Highland Hospital,11,163,8.4,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,22,158,10.7,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,12,44,24,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,7,107,6.4,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,3,7,26.4,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,,,,,-122.231,37.79925
2018,Alameda,Highland Hospital,2,133,0.8,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,7,355,2.5,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,1,48,1.3,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,6,136,5,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,,,,,-122.231,37.79925
2018,Alameda,Highland Hospital,2,134,2,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,0,10,,As Expected,-122.23138,37.79925
2019,Alameda,Highland Hospital,0,10,0,As Expected,-122.23138,37.79925
2019,Alameda,Highland Hospital,0,10,0,As Expected,-122.23138,37.79925
2019,Alameda,Highland Hospital,0,3,0,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,,,,,-122.231,37.79925
2019,Alameda,Highland Hospital,7,198,4.5,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,18,138,9.1,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,12,43,22.9,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,4,91,3.6,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,2,4,37.8,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,,,,,-122.231,37.79925
2019,Alameda,Highland Hospital,6,190,2.8,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,5,389,1.6,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,0,53,0,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,8,142,5.4,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,1,6,5,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,4,119,5.2,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,0,14,,As Expected,-122.23138,37.79925
2020,Alameda,Highland Hospital,0,14,0,As Expected,-122.23138,37.79925
2020,Alameda,Highland Hospital,0,14,0,As Expected,-122.23138,37.79925
2020,Alameda,Highland Hospital,0,3,0,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,,,,,-122.231,37.79925
2020,Alameda,Highland Hospital,7,110,5.3,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,16,155,9.7,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,10,39,21,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,5,113,6.9,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,1,3,20,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,1,15,25.7,Worse,-122.231,37.79925
2020,Alameda,Highland Hospital,7,209,2.7,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,5,509,1.2,Better,-122.231,37.79925
2020,Alameda,Highland Hospital,0,75,0,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,5,108,3.6,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,,,,,-122.231,37.79925
2020,Alameda,Highland Hospital,22,396,6.6,As Expected,-122.231,37.79925
2016,Alameda,Alta Bates Summit Medical Center,19,454,4.9,As Expected,-122.262,37.82106
2016,Alameda,Alta Bates Summit Medical Center,17,303,9,As Expected,-122.262,37.82106
2016,Alameda,Alta Bates Summit Medical Center,3,24,13.9,As Expected,-122.262,37.82106
2016,Alameda,Alta Bates Summit Medical Center,13,278,5.5,As Expected,-122.262,37.82106
2016,Alameda,Alta Bates Summit Medical Center,,,,,-122.262,37.82106
2016,Alameda,Alta Bates Summit Medical Center,0,12,0,As Expected,-122.262,37.82106
2016,Alameda,Alta Bates Summit Medical Center,4,301,1.7,As Expected,-122.262,37.82106
2016,Alameda,Alta Bates Summit Medical Center,15,613,2.2,As Expected,-122.262,37.82106
2016,Alameda,Alta Bates Summit Medical Center,2,119,1.3,As Expected,-122.262,37.82106
2016,Alameda,Alta Bates Summit Medical Center,13,371,3,As Expected,-122.262,37.82106
2016,Alameda,Alta Bates Summit Medical Center,0,11,0,As Expected,-122.262,37.82106
2016,Alameda,Alta Bates Summit Medical Center,5,186,2.4,As Expected,-122.262,37.82106
2016,Alameda,Alta Bates Summit Medical Center,1,118,0.84,As Expected,-122.26,37.82
2017,Alameda,Alta Bates Summit Medical Center,25,451,5.7,As Expected,-122.262,37.82106
2017,Alameda,Alta Bates Summit Medical Center,8,325,3.3,Better,-122.262,37.82106
2017,Alameda,Alta Bates Summit Medical Center,4,15,21.4,As Expected,-122.262,37.82106
2017,Alameda,Alta Bates Summit Medical Center,4,309,1.1,Better,-122.262,37.82106
2017,Alameda,Alta Bates Summit Medical Center,,,,,-122.262,37.82106
2017,Alameda,Alta Bates Summit Medical Center,1,14,12.6,As Expected,-122.262,37.82106
2017,Alameda,Alta Bates Summit Medical Center,9,341,2.6,As Expected,-122.262,37.82106
2017,Alameda,Alta Bates Summit Medical Center,27,675,2.9,As Expected,-122.262,37.82106
2017,Alameda,Alta Bates Summit Medical Center,2,95,1.8,As Expected,-122.262,37.82106
2017,Alameda,Alta Bates Summit Medical Center,9,349,3.3,As Expected,-122.262,37.82106
2017,Alameda,Alta Bates Summit Medical Center,0,8,0,As Expected,-122.262,37.82106
2017,Alameda,Alta Bates Summit Medical Center,4,109,2.8,As Expected,-122.262,37.82106
2017,Alameda,Alta Bates Summit Medical Center,2,144,1.65,As Expected,-122.26,37.82
2018,Alameda,Alta Bates Summit Medical Center,17,420,3.9,As Expected,-122.262,37.82106
2018,Alameda,Alta Bates Summit Medical Center,11,314,4.4,Better,-122.262,37.82106
2018,Alameda,Alta Bates Summit Medical Center,4,8,31.8,As Expected,-122.262,37.82106
2018,Alameda,Alta Bates Summit Medical Center,7,303,1.9,Better,-122.262,37.82106
2018,Alameda,Alta Bates Summit Medical Center,0,3,0,As Expected,-122.262,37.82106
2018,Alameda,Alta Bates Summit Medical Center,0,13,0,As Expected,-122.262,37.82106
2018,Alameda,Alta Bates Summit Medical Center,7,322,1.7,As Expected,-122.262,37.82106
2018,Alameda,Alta Bates Summit Medical Center,13,812,1.2,Better,-122.262,37.82106
2018,Alameda,Alta Bates Summit Medical Center,4,112,2.3,As Expected,-122.262,37.82106
2018,Alameda,Alta Bates Summit Medical Center,11,344,3,As Expected,-122.262,37.82106
2018,Alameda,Alta Bates Summit Medical Center,2,13,8.1,As Expected,-122.262,37.82106
2018,Alameda,Alta Bates Summit Medical Center,5,137,2.7,As Expected,-122.262,37.82106
2018,Alameda,Alta Bates Summit Medical Center,2,143,1.37,As Expected,-122.26,37.82
2019,Alameda,Alta Bates Summit Medical Center,,,,,-122.262,37.82106
2019,Alameda,Alta Bates Summit Medical Center,,,,,-122.262,37.82106
2019,Alameda,Alta Bates Summit Medical Center,32,556,5.2,As Expected,-122.262,37.82106
2019,Alameda,Alta Bates Summit Medical Center,13,367,4.3,Better,-122.262,37.82106
2019,Alameda,Alta Bates Summit Medical Center,2,13,17.9,As Expected,-122.262,37.82106
2019,Alameda,Alta Bates Summit Medical Center,10,349,2.3,Better,-122.262,37.82106
2019,Alameda,Alta Bates Summit Medical Center,1,5,8.8,As Expected,-122.262,37.82106
2019,Alameda,Alta Bates Summit Medical Center,0,5,0,As Expected,-122.262,37.82106
2019,Alameda,Alta Bates Summit Medical Center,5,323,1.4,As Expected,-122.262,37.82106
2019,Alameda,Alta Bates Summit Medical Center,13,810,1.5,Better,-122.262,37.82106
2019,Alameda,Alta Bates Summit Medical Center,1,96,0.7,As Expected,-122.262,37.82106
2019,Alameda,Alta Bates Summit Medical Center,21,401,4.4,As Expected,-122.262,37.82106
2019,Alameda,Alta Bates Summit Medical Center,0,9,0,As Expected,-122.262,37.82106
2019,Alameda,Alta Bates Summit Medical Center,5,99,4.6,As Expected,-122.262,37.82106
2019,Alameda,Alta Bates Summit Medical Center,2,155,1.12342,As Expected,-122.26,37.82
2020,Alameda,Alta Bates Summit Medical Center,,,,,-122.262,37.82106
2020,Alameda,Alta Bates Summit Medical Center,,,,,-122.262,37.82106
2020,Alameda,Alta Bates Summit Medical Center,20,382,5.3,As Expected,-122.262,37.82106
2020,Alameda,Alta Bates Summit Medical Center,15,360,7.2,As Expected,-122.262,37.82106
2020,Alameda,Alta Bates Summit Medical Center,4,12,25.1,As Expected,-122.262,37.82106
2020,Alameda,Alta Bates Summit Medical Center,11,348,3.6,As Expected,-122.262,37.82106
2020,Alameda,Alta Bates Summit Medical Center,,,,,-122.262,37.82106
2020,Alameda,Alta Bates Summit Medical Center,0,22,0,As Expected,-122.262,37.82106
2020,Alameda,Alta Bates Summit Medical Center,8,278,2.8,As Expected,-122.262,37.82106
2020,Alameda,Alta Bates Summit Medical Center,17,713,2.3,As Expected,-122.262,37.82106
2020,Alameda,Alta Bates Summit Medical Center,0,102,0,As Expected,-122.262,37.82106
2020,Alameda,Alta Bates Summit Medical Center,5,253,1.9,As Expected,-122.262,37.82106
2020,Alameda,Alta Bates Summit Medical Center,1,11,9.2,As Expected,-122.262,37.82106
2020,Alameda,Alta Bates Summit Medical Center,13,271,5.5,As Expected,-122.262,37.82106
2020,Alameda,Alta Bates Summit Medical Center,3,122,2.123427,As Expected,-122.26,37.82
2016,Alameda,Saint Rose Hospital,0,21,0,As Expected,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,0,21,0,As Expected,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,0,21,0,As Expected,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,11,221,8.3,As Expected,-122.089,37.63291
2016,Alameda,Saint Rose Hospital,4,60,23.3,As Expected,-122.089,37.63291
2016,Alameda,Saint Rose Hospital,,,,,-122.089,37.63291
2016,Alameda,Saint Rose Hospital,3,58,11,As Expected,-122.089,37.63291
2016,Alameda,Saint Rose Hospital,,,,,-122.089,37.63291
2016,Alameda,Saint Rose Hospital,,,,,-122.089,37.63291
2016,Alameda,Saint Rose Hospital,6,137,4,As Expected,-122.089,37.63291
2016,Alameda,Saint Rose Hospital,6,219,3.4,As Expected,-122.089,37.63291
2016,Alameda,Saint Rose Hospital,0,22,0,As Expected,-122.089,37.63291
2016,Alameda,Saint Rose Hospital,5,175,4.9,As Expected,-122.089,37.63291
2016,Alameda,Saint Rose Hospital,,,,,-122.089,37.63291
2016,Alameda,Saint Rose Hospital,7,170,6.7,As Expected,-122.089,37.63291
2017,Alameda,Saint Rose Hospital,0,26,0,As Expected,-122.08962,37.63291
2017,Alameda,Saint Rose Hospital,0,26,0,As Expected,-122.08962,37.63291
2017,Alameda,Saint Rose Hospital,0,26,0,As Expected,-122.08962,37.63291
2017,Alameda,Saint Rose Hospital,13,207,10.2,Worse,-122.089,37.63291
2017,Alameda,Saint Rose Hospital,3,67,5.9,As Expected,-122.089,37.63291
2017,Alameda,Saint Rose Hospital,1,3,14.8,As Expected,-122.089,37.63291
2017,Alameda,Saint Rose Hospital,1,62,2.1,As Expected,-122.089,37.63291
2017,Alameda,Saint Rose Hospital,,,,,-122.089,37.63291
2017,Alameda,Saint Rose Hospital,,,,,-122.089,37.63291
2017,Alameda,Saint Rose Hospital,1,114,1.2,As Expected,-122.089,37.63291
2017,Alameda,Saint Rose Hospital,6,219,4,As Expected,-122.089,37.63291
2017,Alameda,Saint Rose Hospital,1,26,3.8,As Expected,-122.089,37.63291
2017,Alameda,Saint Rose Hospital,8,173,7.4,As Expected,-122.089,37.63291
2017,Alameda,Saint Rose Hospital,,,,,-122.089,37.63291
2017,Alameda,Saint Rose Hospital,4,147,3.2,As Expected,-122.089,37.63291
2018,Alameda,Saint Rose Hospital,0,20,,As Expected,-122.08962,37.63291
2018,Alameda,Saint Rose Hospital,0,20,0,As Expected,-122.08962,37.63291
2018,Alameda,Saint Rose Hospital,0,20,0,As Expected,-122.08962,37.63291
2018,Alameda,Saint Rose Hospital,12,185,8.8,As Expected,-122.089,37.63291
2018,Alameda,Saint Rose Hospital,3,59,7.5,As Expected,-122.089,37.63291
2018,Alameda,Saint Rose Hospital,2,6,26.8,As Expected,-122.089,37.63291
2018,Alameda,Saint Rose Hospital,1,53,2.4,As Expected,-122.089,37.63291
2018,Alameda,Saint Rose Hospital,,,,,-122.089,37.63291
2018,Alameda,Saint Rose Hospital,,,,,-122.089,37.63291
2018,Alameda,Saint Rose Hospital,3,100,2.6,As Expected,-122.089,37.63291
2018,Alameda,Saint Rose Hospital,7,259,2.8,As Expected,-122.089,37.63291
2018,Alameda,Saint Rose Hospital,0,25,0,As Expected,-122.089,37.63291
2018,Alameda,Saint Rose Hospital,8,174,7.6,As Expected,-122.089,37.63291
2018,Alameda,Saint Rose Hospital,,,,,-122.089,37.63291
2018,Alameda,Saint Rose Hospital,5,170,3.2,As Expected,-122.089,37.63291
2019,Alameda,Saint Rose Hospital,0,21,,As Expected,-122.08962,37.63291
2019,Alameda,Saint Rose Hospital,0,21,0,As Expected,-122.08962,37.63291
2019,Alameda,Saint Rose Hospital,0,21,0,As Expected,-122.08962,37.63291
2019,Alameda,Saint Rose Hospital,,,,,-122.089,37.63291
2019,Alameda,Saint Rose Hospital,,,,,-122.089,37.63291
2019,Alameda,Saint Rose Hospital,16,203,12.7,Worse,-122.089,37.63291
2019,Alameda,Saint Rose Hospital,0,53,0,As Expected,-122.089,37.63291
2019,Alameda,Saint Rose Hospital,,,,,-122.089,37.63291
2019,Alameda,Saint Rose Hospital,0,51,0,As Expected,-122.089,37.63291
2019,Alameda,Saint Rose Hospital,,,,,-122.089,37.63291
2019,Alameda,Saint Rose Hospital,,,,,-122.089,37.63291
2019,Alameda,Saint Rose Hospital,6,148,6.3,Worse,-122.089,37.63291
